record_kind,method,full_path,route_prefix,route_name,source_file,line,router_module,registered,auth_dependencies,authorization_scope,service_references,response_model,notes
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-dependencies,/api/agencies/{agency_id},list_agency_feature_bundle_dependencies,backend/routers/agency_feature_bundle_dependencies.py,26,routers.agency_feature_bundle_dependencies,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleDependencyService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-dependencies/summary,/api/agencies/{agency_id},summarize_agency_feature_bundle_dependencies,backend/routers/agency_feature_bundle_dependencies.py,44,routers.agency_feature_bundle_dependencies,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleDependencyService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-dependencies/{dependency_id},/api/agencies/{agency_id},get_agency_feature_bundle_dependency,backend/routers/agency_feature_bundle_dependencies.py,54,routers.agency_feature_bundle_dependencies,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleDependencyService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-approvals,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_approvals,backend/routers/agency_feature_bundle_rollout_approvals.py,26,routers.agency_feature_bundle_rollout_approvals,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutApprovalService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-approvals/summary,/api/agencies/{agency_id},summarize_agency_feature_bundle_rollout_approvals,backend/routers/agency_feature_bundle_rollout_approvals.py,37,routers.agency_feature_bundle_rollout_approvals,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutApprovalService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-approvals/{approval_id},/api/agencies/{agency_id},get_agency_feature_bundle_rollout_approval,backend/routers/agency_feature_bundle_rollout_approvals.py,47,routers.agency_feature_bundle_rollout_approvals,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutApprovalService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-approvals/{approval_id}/notes,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_approval_notes,backend/routers/agency_feature_bundle_rollout_approvals.py,70,routers.agency_feature_bundle_rollout_approvals,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutApprovalService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-approvals/{approval_id}/timeline,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_approval_timeline,backend/routers/agency_feature_bundle_rollout_approvals.py,84,routers.agency_feature_bundle_rollout_approvals,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutApprovalService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-change-requests,/api/agencies/{agency_id},list_agency_feature_bundle_rollout_change_requests,backend/routers/agency_feature_bundle_rollout_change_requests.py,26,routers.agency_feature_bundle_rollout_change_requests,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutChangeRequestService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-change-requests/summary,/api/agencies/{agency_id},summarize_agency_feature_bundle_rollout_change_requests,backend/routers/agency_feature_bundle_rollout_change_requests.py,48,routers.agency_feature_bundle_rollout_change_requests,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutChangeRequestService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-rollout-change-requests/{change_request_id},/api/agencies/{agency_id},get_agency_feature_bundle_rollout_change_request,backend/routers/agency_feature_bundle_rollout_change_requests.py,58,routers.agency_feature_bundle_rollout_change_requests,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,FeatureBundleRolloutChangeRequestService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
