record_kind,path,route_pattern,registration_kind,page_component,source_file,line,page_file,layout,role_or_surface,module_catalog_label,module_catalog_file,navigation,api_client_calls,backend_support,notes
page,/agency/clients/{param1},,page_module,ClientDetailPage,frontend/src/pages/agency/ClientDetailPage.jsx,1,frontend/src/pages/agency/ClientDetailPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/clients/${clientId};/api/agencies/${context.agency.id}/passengers;/api/agencies/${state.agency.id}/client-passenger-relationships;/api/agencies/${state.agency.id}/clients/${clientId};/api/agencies/${state.agency.id}/clients/${clientId}/${action};/api/auth/me,partial_static_match:7_matched:1_unresolved,registered_in_app
page,/agency/clients;/agency/clients,,page_module,AgencyClientMasterPage,frontend/src/pages/agency/ClientMasterPage.jsx,1,frontend/src/pages/agency/ClientMasterPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/client-master${query};/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/deadlines,,page_module,DeadlinesPage,frontend/src/pages/agency/DeadlinesPage.jsx,1,frontend/src/pages/agency/DeadlinesPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/deadlines${query};/api/agencies/${state.agency.id}/deadlines/${deadlineId}/${name};/api/agencies/${state.agency.id}/deadlines/monitor;/api/auth/me,partial_static_match:5_matched:1_unresolved,registered_in_app
page,/agency/distribution-capabilities,,page_module,AgencyAirlineDistributionCapabilitiesPage,frontend/src/pages/agency/AirlineDistributionCapabilitiesPage.jsx,1,frontend/src/pages/agency/AirlineDistributionCapabilitiesPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/distribution-capabilities${query};/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/document-storage,,page_module,DocumentStoragePage,frontend/src/pages/agency/DocumentStoragePage.jsx,1,frontend/src/pages/agency/DocumentStoragePage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/auth/me;/api/documents/delivery-providers/readiness?agency_id=${agencyId};/api/documents/delivery-providers?agency_id=${agencyId};/api/documents/storage/${recordId}/archive;/api/documents/storage/${recordId}/mark-missing;/api/documents/storage/health?agency_id=${agencyId};/api/documents/storage/summary?agency_id=${agencyId};/api/documents/storage?agency_id=${agencyId},matched_static_backend_shape,registered_in_app
page,/agency/document-templates,,page_module,DocumentTemplatesPage,frontend/src/pages/agency/DocumentTemplatesPage.jsx,1,frontend/src/pages/agency/DocumentTemplatesPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/document-templates;/api/agencies/${state.agency.id}/document-templates;/api/agencies/${state.agency.id}/document-templates/${id}/archive;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/document-workspaces,,page_module,DocumentWorkspacesPage,frontend/src/pages/agency/DocumentWorkspacesPage.jsx,1,frontend/src/pages/agency/DocumentWorkspacesPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/document-workspaces${query};/api/agencies/${context.agency.id}/document-workspaces/summary;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/documents,,page_module,DocumentsPage,frontend/src/pages/agency/DocumentsPage.jsx,1,frontend/src/pages/agency/DocumentsPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/documents;/api/agencies/${context.agency.id}/documents/packages;/api/agencies/${context.agency.id}/documents/render-jobs;/api/agencies/${context.agency.id}/documents/templates;/api/agencies/${state.agency.id}/documents/context-preview;/api/agencies/${state.agency.id}/documents/packages;/api/agencies/${state.agency.id}/documents/render-jobs;/api/agencies/${state.agency.id}/documents/render-jobs/${jobId}/rerender;/api/agencies/${state.agency.id}/documents/share-records;/api/auth/me;/api/readiness,matched_static_backend_shape,registered_in_app
page,/agency/documents/{param1},,page_module,DocumentDetailPage,frontend/src/pages/agency/DocumentDetailPage.jsx,1,frontend/src/pages/agency/DocumentDetailPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/document-deliveries/${item.id}/diagnostics;/api/agencies/${context.agency.id}/document-export-capabilities;/api/agencies/${context.agency.id}/documents/${documentId};/api/agencies/${context.agency.id}/documents/${documentId}/deliveries;/api/agencies/${context.agency.id}/documents/${documentId}/exports;/api/agencies/${context.agency.id}/email-settings;/api/agencies/${state.agency.id}/document-deliveries/${deliveryId}/cancel;/api/agencies/${state.agency.id}/document-deliveries/${deliveryId}/retry;/api/agencies/${state.agency.id}/document-deliveries/${deliveryId}/send;/api/agencies/${state.agency.id}/document-exports/${exportId}/download;/api/agencies/${state.agency.id}/documents/${documentId}/archive;/api/agencies/${state.agency.id}/documents/${documentId}/deliveries;/api/agencies/${state.agency.id}/documents/${documentId}/exports;/api/agencies/${state.agency.id}/email-settings;/api/agencies/${state.agency.id}/email-settings/validate;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/emd-workspaces,,page_module,EmdWorkspaceMetadataPage,frontend/src/pages/agency/EmdWorkspaceMetadataPage.jsx,1,frontend/src/pages/agency/EmdWorkspaceMetadataPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/emd-workspaces${query};/api/agencies/${context.agency.id}/emd-workspaces/summary;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/emds/{param1},,page_module,EmdDetailPage,frontend/src/pages/agency/EmdDetailPage.jsx,1,frontend/src/pages/agency/EmdDetailPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/emds/${emdRecordId};/api/agencies/${state.agency.id}/emds/${emdRecordId};/api/auth/me,matched_static_backend_shape,registered_in_app
